qsrank	statename	overall	Fitness	Routine	Nutrition	Sleep	Weight	Diabetes	arts	engineering	life	natural	social	id
723	Gallatin	57.73412281	84.75102033	41.4672549	43.97900045	73.98990478	1.965583746	26.64272385	13.91489359	65.8234759	13.39556016	71.82536621	71.639694	18027
724	Greene	19.89471369	38.53494889	47.15310367	84.95298825	36.61589508	91.30420632	71.96135288	83.51509356	4.556205814	17.77827581	7.734206106	28.58095008	18029
725	Grundy	26.89092087	47.03161785	12.17898514	68.98085518	31.47520482	61.49615377	9.003064538	21.14995115	99.16229129	29.8049104	36.66630861	85.23332142	18031
726	Hamilton	12.51821008	32.44174801	85.47819206	94.52796541	6.041391319	18.78041966	98.28599751	59.45244044	4.645004802	89.9409629	4.390584793	10.44518015	18033
727	Hancock	51.13205672	60.01310145	83.85151134	37.2657843	80.70029658	80.28436642	98.56582899	29.46686287	15.19448998	3.45225799	88.36603534	37.46683868	18035
728	Hardin	60.17498697	94.67383697	60.47286281	78.22923974	63.0522535	64.09410685	93.86810266	81.33930149	83.80887103	48.02643624	53.78732583	27.99781699	18037
729	Henderson	1.88239057	25.02079959	9.217336489	16.35626312	89.36569485	9.822163179	8.048514702	86.89056129	10.85343563	36.62473379	96.3276018	20.99990773	18039
730	Henry	60.223762	26.26149118	64.97714873	8.5866856	46.54436383	38.81813696	15.43526913	55.22225984	35.86271261	21.84822734	24.81613083	58.16958714	18041
731	Iroquois	66.10016622	56.28333675	36.86554808	51.91583594	91.8478303	22.39764645	17.12359676	31.61075726	76.0954557	15.97063902	88.84003848	51.55506778	18043
732	Jackson	63.44244362	31.44707821	12.76002306	81.72345275	10.74891216	66.39761699	84.50595137	20.00301237	72.42329714	24.3303741	34.66201141	0.138555171	18045
733	Jasper	33.15817536	58.75560956	82.28068087	52.20443314	66.66325259	3.824087398	44.0393534	79.08682776	46.26124546	49.94860208	56.27166579	95.08320156	18047
734	Jefferson	29.75420704	41.8996422	17.90654319	65.06600839	97.80333734	45.74781119	9.94189232	44.97053412	30.12823791	63.72264741	39.2078596	16.26576134	18049
735	Jersey	92.05509078	99.82421135	88.2038668	19.1769641	2.395231176	28.91652506	78.16919588	16.1947731	43.80500714	42.63596545	9.1204169	85.20216722	18051
736	Jo Daviess	40.37986498	85.9148882	26.81089144	73.16679356	48.22915982	21.81431545	89.42766622	19.77427767	36.78121968	2.912040493	46.17751341	55.31362056	18053
737	Johnson	35.42210497	4.754071844	43.82780401	60.34879894	69.89223057	30.59996398	91.9276596	29.70616185	99.79821104	48.1128554	61.24575021	47.70488527	18055
738	Kane	72.98483646	14.55728712	26.32112898	72.61662074	82.81364037	16.17914312	31.40220174	35.74768228	58.32056933	86.77246123	45.1291427	79.87550704	18057
739	Kankakee	24.21361872	0.739738288	76.59822281	7.581955083	3.81920465	16.88825133	91.63181314	55.99291235	35.75896871	74.97407454	53.78899152	93.82653966	18059
740	Kendall	82.26397917	18.18910684	13.6765316	41.32793437	5.456074227	84.48737817	32.78030682	78.40062882	7.261758109	63.76650734	22.07999362	38.58306047	18061
741	Knox	18.01173388	1.963132726	58.32624493	41.74379464	12.06863488	93.50380729	26.59899515	52.45377841	24.66029194	92.23229692	79.23052128	86.92543111	18063
742	La Salle	29.29332116	40.56180227	94.07509829	14.26018351	96.765033	30.19187726	87.06899638	65.7278806	46.12457316	89.47994117	75.99988836	26.82811039	18065
743	Lake	19.64230308	92.49594347	34.36983942	63.73878217	47.3703758	36.66489814	10.91288228	6.673101962	23.99818049	35.40867557	68.42536063	92.99296144	18067
744	Lawrence	38.24358922	21.65339135	78.37336607	57.07524193	76.58143435	0.778128463	23.02158775	53.40120167	23.48032339	6.167288464	21.44003075	45.35047664	18069
745	Lee	4.779824592	88.24908196	59.63700126	88.60011675	35.99252387	2.268701571	8.504889474	86.85767398	12.18047156	65.69599742	90.64545133	75.13521773	18071
746	Livingston	28.37720801	13.89422439	84.8765682	12.85421334	64.4728749	13.68093569	12.93162445	66.18592172	67.54578329	13.66305865	81.87226934	74.49716878	18073
747	Logan	12.19007991	26.96246668	75.95114263	1.924297569	56.50523274	61.25215893	44.95830517	69.26611338	45.40950605	94.40061185	60.10341561	34.32023586	18075
748	Macon	39.97661628	49.15134868	82.59801875	49.04650234	64.0207962	36.82510914	32.91936365	97.07369859	53.16051834	33.18692078	25.18920097	35.58150342	18077
749	Macoupin	28.26699152	48.89322781	19.5048714	57.19912172	59.57034063	51.25703798	78.11157457	82.24670186	44.60099566	96.58328185	72.01597657	62.10491683	18079
750	Madison	55.76635487	78.69962939	89.38026477	33.55402499	53.84893226	43.36550371	37.41528835	55.23685683	13.54104709	99.24715859	38.76819489	35.96831041	18081
751	Marion	86.09858348	66.96210444	12.5915238	78.44277993	88.25751979	77.31339305	24.64916838	15.19910921	81.43351981	40.23555658	96.88081301	77.86069126	18083
752	Marshall	77.21771893	91.90882309	12.4807778	21.12000369	76.88805034	95.37061401	1.90731014	52.96248145	19.84741619	20.36487065	46.7662704	57.54777012	18085
753	Mason	56.92092402	85.55725851	15.90273918	50.9623289	64.18183748	34.8487268	27.06038733	37.81773836	42.31587702	93.65029014	33.27692839	62.37333344	18087
754	Massac	23.86024933	81.00249412	91.44652956	18.41777549	34.51075611	20.66495515	69.12120179	84.01684572	26.10758638	76.40181397	25.08524639	68.65195615	18089
755	Mcdonough	91.99518424	77.90350777	41.98947124	28.54771765	21.42134987	99.14499904	77.28744904	3.371339975	27.34869593	75.82663661	0.169076534	36.67955359	18091
756	Mchenry	19.67622514	11.54908703	71.65423864	61.22235029	53.79242937	22.50482206	90.09594451	9.22897326	49.48076072	91.31929889	78.58108745	64.93967753	18093
757	Mclean	81.46949079	55.36263405	64.161738	68.7522205	40.9188958	37.62120117	10.59455408	98.05005309	1.885594019	20.48017579	2.76447589	93.47983153	18095
758	Menard	35.8656016	76.19570988	47.32783876	95.73273319	87.23570522	78.01557238	76.21283299	18.8940947	25.81751878	29.65255284	12.80839748	81.09303372	18097
759	Mercer	57.13650117	60.14468429	13.09235769	40.48107276	82.47051544	22.36517045	5.20483717	29.5647471	80.20531722	53.04431766	92.09712941	11.65426513	18099
760	Monroe	43.32734004	17.79898106	42.02282126	81.58301215	59.98376173	36.03468346	93.49261206	40.07113671	53.37674787	14.93310961	28.42354807	33.80966827	18101
761	Montgomery	95.92755477	50.3797907	34.93715692	59.13987874	26.59429734	90.73849214	37.72430292	46.15948631	19.44870745	9.748782422	65.75612706	91.10748576	18103
762	Morgan	63.31522347	66.64937918	88.12949828	80.57710857	81.83208649	97.07595951	95.67130141	47.05229828	85.58039376	38.6470972	60.63016243	41.42658752	18105
763	Moultrie	25.03077698	61.90873878	11.69698647	85.95085272	45.84075572	66.03348753	81.5433756	8.890674454	66.05574817	84.76422966	46.51695874	45.70055734	18107
764	Ogle	16.69152497	2.982873394	63.70681863	0.119440212	25.00955926	84.40739615	50.27820389	62.39027519	99.15254078	5.175752942	26.61559751	30.78369513	18109
765	Peoria	12.866071	45.30572946	28.86491971	51.00658798	85.45623083	18.86739185	23.85320432	75.16755374	5.388817568	67.5127789	47.29074818	70.10786544	18111
766	Perry	63.26230746	16.88172242	60.72883731	68.55192352	39.88880773	6.727531843	19.05881449	8.381249675	47.19501999	75.1013053	16.90327985	55.38050476	18113
767	Piatt	42.89300316	95.06935535	24.36610584	93.29561064	20.15443916	46.11492832	54.85179695	63.82056273	52.6438864	89.0027563	31.40813585	5.521379304	18115
768	Pike	89.87873639	25.07047799	64.68792516	41.30666264	7.304837507	53.54836718	26.97911761	68.51009261	33.78504678	62.27763473	60.66343464	95.78255755	18117
769	Pope	27.17916563	86.05874167	6.782999666	90.61114035	82.86891779	83.03526222	73.56145167	25.33751929	8.099812313	51.71271257	38.23967825	38.84322753	18119
770	Pulaski	3.458350842	64.6181736	33.37625072	89.12472093	51.58246697	59.38186622	22.44965366	16.5642923	65.75335592	7.186272855	57.2839861	24.64557227	18121
771	Putnam	61.73968561	17.79837604	5.9175997	6.684134833	80.50069437	90.1017485	22.44193518	54.76320479	36.84153088	22.86304205	79.809621	88.73244512	18123
772	Randolph	84.99190745	68.79960319	2.628799737	26.13586069	38.4279544	68.65997269	14.45202638	57.58151987	13.72343034	62.19522363	84.30995957	47.68229932	18125
773	Richland	28.22859495	8.470238564	73.40983829	65.29942239	90.53496403	13.79240594	66.84779533	33.69280957	52.99421653	41.40040333	68.92783796	28.82806164	18127
774	Rock Island	93.89721478	68.87203587	42.88644073	59.18349039	22.92190094	0.157496327	56.13320231	75.87980804	38.89359221	19.89496115	30.35368219	11.97754953	18129
775	Saint Clair	68.86570026	72.8972823	56.45424978	14.65787339	34.53771006	98.91848308	68.6877038	56.52851675	36.8361145	86.00329121	47.7654966	95.84096471	18131
776	Saline	32.10112038	18.46962956	39.95979091	14.10594194	69.61038911	67.11011955	20.98091344	72.73363957	1.650793581	94.02897558	84.88962105	15.15646528	18133
777	Sangamon	30.61822357	42.49738871	67.3263489	86.20651893	87.32721497	40.60954324	46.5897715	93.20902236	91.91461244	36.92808474	50.55772042	59.84475229	18135
778	Schuyler	90.16516171	53.83443228	90.01645278	83.92197934	71.51419577	98.97124198	33.85095947	67.10704529	19.4673833	66.50107586	66.46013768	14.2649228	18137
779	Scott	88.42582296	99.32021318	25.04465567	91.53570361	71.53682105	99.18069569	60.1416599	92.42512042	80.94595254	72.91203218	96.03594377	16.92088891	18139
780	Shelby	31.14564558	97.63380987	73.30796515	21.78053546	42.79738769	43.0246465	85.69216505	77.59585425	88.48453626	14.5481067	89.4119319	67.37365072	18141
781	Stark	28.08446057	98.12584811	73.36508999	29.36126508	28.29548748	85.07443801	56.49051045	28.64779553	32.86463973	86.71076027	10.15219698	30.23875978	18143
782	Stephenson	56.2802084	8.147573106	16.71142472	58.85905401	91.85577621	65.78234376	17.85893683	34.03230371	82.14805264	92.8196695	77.5077919	86.82301939	18145
783	Tazewell	17.66506001	64.00951543	82.18607761	67.95348873	80.80308366	68.10144877	27.53179239	11.11282596	84.89054919	79.25251917	80.3687689	18.26907284	18147
784	Union	69.31234814	17.79736816	52.97467739	89.41973148	85.79306605	14.52952098	61.0471677	37.58711631	52.68151026	54.08047269	62.06227935	82.51795173	18149
785	Vermilion	79.55907912	10.34975449	76.36219321	78.768467	10.73990637	14.28307674	58.69163478	65.16614908	89.43546746	8.669687592	88.29775445	67.27898492	18151
786	Wabash	3.10817009	84.38361828	33.82138573	66.8381281	65.16928795	25.11954201	91.85634684	47.17085444	88.67445082	24.42099718	72.06172184	28.52569927	18153
787	Warren	31.86609662	42.87475876	77.20239958	99.49952112	78.663046	41.49833004	16.45057229	66.34273148	45.43709761	26.08993115	72.9528664	14.31179497	18155
788	Washington	71.90926194	43.03045367	17.06118595	38.50028049	15.23134096	32.79922322	9.419628433	72.9412945	95.300215	61.09097146	83.19216951	64.7413875	18157
789	Wayne	98.74555236	72.98653078	94.57137398	99.94445603	53.57211839	21.54396014	39.13160942	94.18523077	80.7786612	55.89208835	21.2979526	28.19929319	18159
790	White	1.034560217	89.27930734	25.68412619	41.30117935	58.23532952	18.83602955	84.55859484	64.06219311	55.12000957	69.82939602	39.73485476	39.33891739	18161
791	Whiteside	64.19537062	80.59162768	46.51675655	77.58799623	61.77475826	99.60223202	98.16357175	8.090527612	82.66679469	41.6883837	9.724746595	40.42406582	18163
792	Will	60.85330946	89.42228082	20.16761943	79.18803383	87.1370651	34.79134682	13.11847857	40.73039766	64.95299509	90.27829916	28.53841939	52.024419	18165
793	Williamson	59.35480794	34.21222525	0.961545612	79.21436646	56.6967242	24.9423799	42.49022508	26.40357645	2.001039238	39.95828593	79.34027801	90.41379542	18167
794	Winnebago	13.73777451	18.51068393	75.05377863	71.82827444	71.47639111	54.2678814	53.23795438	62.32059339	48.53039516	47.2987143	20.50072627	82.8845839	18169
795	Woodford	80.5769819	28.0021061	72.4504868	62.96648773	10.68202241	91.19361212	96.35892503	16.13242091	63.92243703	59.70233004	50.51853563	38.43504981	18171
796	Adams	51.36853785	73.14374217	22.17583358	63.97680506	75.48093473	52.61958637	28.81479216	58.0248384	73.99928904	69.65085005	27.85919806	9.499354006	18173
797	Allen	64.95461075	76.85899127	82.20691764	27.77034813	64.6925332	78.85892027	72.13743716	5.001924497	94.90953035	4.064217981	53.3444864	54.42990898	18175
798	Bartholomew	16.67050649	10.80935777	43.47542666	81.67902531	29.54874385	97.75744439	14.54292025	71.8268228	69.83109521	87.29684917	32.40784949	24.02160706	18177
799	Benton	75.76909106	98.77357828	85.37596802	56.56531153	49.94717554	57.94019109	0.389341367	98.31105074	76.71901387	91.50754109	50.12946844	42.38714552	18179
800	Blackford	67.06916695	18.80537273	6.096792805	21.52770915	98.87147503	97.93873046	28.28160356	71.52793128	92.99280028	1.374150894	64.61004745	8.231567289	18181
801	Boone	13.00755522	72.4604308	25.05752682	80.48987105	2.850389647	20.57018029	75.59827546	32.89945319	50.63311355	30.21857193	88.71048024	39.81158625	18183
802	Brown	65.35342734	65.76343457	29.72084526	40.0566358	63.01445678	45.50878021	56.60159687	0.980273794	73.13393822	65.54267585	40.75498269	17.37081939	19000
803	Carroll	81.19618631	26.21059424	75.74613396	48.76104744	48.60195238	47.33923935	71.30178653	1.766679947	51.85087959	54.55663276	71.04089143	54.64556213	19001
804	Cass	4.848178383	53.95727351	48.78643208	37.23890444	81.63117581	68.05328229	91.42831858	40.63062236	80.0237028	36.84527616	84.78420482	83.76764927	19003
805	Clark	13.67554008	50.20717767	17.90296637	68.51081999	30.64905883	89.3939073	49.8162662	96.08908794	7.680607427	52.4263008	48.58517762	10.12374987	19005
806	Clay	9.3261527	5.164589878	89.55681786	37.33344101	41.05136414	96.53567283	81.84501758	92.79632428	85.54924761	87.87318481	64.06731641	43.02577109	19007
807	Clinton	15.59237287	48.0414941	12.69960017	73.11749561	52.15426915	39.57277215	84.84701082	7.8358587	1.617500605	32.13973598	71.55072759	79.6569963	19009
808	Crawford	34.39106074	59.30249309	42.2602808	66.5992655	92.04418197	81.10264895	62.70841301	9.919131691	91.07840834	33.0604619	79.24645149	1.828894741	19011
809	Daviess	99.03187709	46.79891831	63.47041411	29.47303136	17.30256096	90.68018253	15.0969646	29.04018786	64.58457081	91.02335621	63.18024902	28.81783187	19013
810	De Kalb	19.28146415	10.56536769	84.30150574	69.20222524	31.86570297	54.42285338	60.00680502	65.35945164	53.49671735	15.10439478	30.60078418	97.78422933	19015
811	Dearborn	35.29523675	87.63413829	79.04008728	32.24070261	76.49174234	62.87985676	49.76808569	22.97083495	23.93532876	56.36750518	63.27692171	2.627139476	19017
812	Decatur	83.77244112	1.104584233	53.9776059	62.68143334	86.98321978	52.60137238	55.33015051	26.5577387	26.0649349	75.98226117	66.09965832	49.38502052	19019
813	Delaware	34.39386319	95.01781558	17.45672479	34.75856716	66.98522624	9.803662944	14.78196982	21.06840165	0.76027837	37.86257686	93.73710214	13.3013862	19021
814	Dubois	64.50342434	87.49110003	25.50270064	64.35665169	48.58605637	41.11774481	90.0724389	60.36748177	11.76101921	93.82904604	95.17223968	64.45172026	19023
815	Elkhart	99.22359834	37.91578951	94.8387757	89.52643398	36.33231968	53.55683046	64.0152282	91.01685105	83.0489645	28.48843773	95.6402623	71.91866925	19025
816	Fayette	53.61211248	93.35398676	48.60389692	77.94012918	14.58905432	45.75376053	91.90712606	92.0853393	75.48813458	18.08328839	68.6243091	94.74144053	19027
817	Floyd	3.735160908	28.46080218	85.39032717	57.15879964	26.68287951	14.63325317	85.98993635	81.85490954	99.1859453	11.75200727	95.36379742	93.70173445	19029
818	Fountain	18.8573943	77.76128973	98.88920729	90.92613583	1.582085182	91.77092982	75.67277015	34.70312145	15.85111329	42.76770518	91.33732959	27.90178851	19031
819	Franklin	99.54202308	55.98812211	46.51920529	97.88506264	54.76719957	68.33436813	3.990368851	18.21881859	73.43103682	61.27665729	24.9464982	6.481663727	19033
820	Fulton	46.16295142	4.552763812	44.98334143	64.42528839	0.547173419	19.95454848	93.80899755	34.44466676	22.25184009	21.82333259	37.69511965	44.39890438	19035
821	Gibson	90.41574568	79.69909829	34.73917167	46.69852632	98.60338019	40.75187594	48.60729792	32.15872948	99.74061232	31.38406814	73.19552707	86.98421502	19037
822	Grant	88.39745545	11.96636813	83.41852391	6.626781064	42.94167306	53.15990152	11.32483107	95.74141488	66.51460804	96.21258097	36.18785042	85.1159573	19039
823	Greene	95.17436828	4.159062992	89.27847814	40.0984582	35.64496716	28.45304564	53.92871486	24.06156143	85.47626648	21.7850173	49.51055627	33.53237033	19041
824	Hamilton	54.80437155	60.90739591	54.12864837	42.21615077	43.40292856	59.44632368	87.79001166	48.59390743	65.01193381	34.96611727	20.47065416	52.34936287	19043
825	Hancock	98.48360821	71.55507436	53.31013181	62.44714509	98.36821229	86.47651158	47.16926265	22.79312772	5.471224469	47.44854286	72.64995516	99.90536371	19045
826	Harrison	74.78412076	81.81741815	5.02153948	30.79678335	46.45085695	51.72152432	71.94863089	85.22614919	2.668508261	19.37296538	22.01114736	57.19829188	19047
827	Hendricks	40.26942421	52.68744682	4.927412143	54.04214721	1.930949066	93.83556669	27.82128675	58.8809558	83.58982611	32.19552915	72.02711988	76.36244095	19049
828	Henry	1.740934963	82.79169039	16.16374713	70.92678972	62.31770595	0.381496975	30.6621597	63.69145408	53.18040746	88.63156674	16.22610633	89.82795252	19051
829	Howard	54.20941201	43.17306314	43.17142572	33.87837614	24.73286467	68.58658787	94.11396219	49.503181	6.167241662	45.09885032	42.50106265	72.55872917	19053
830	Huntington	30.86355893	27.36153821	46.34467098	50.79656278	63.8834904	27.57410552	4.059256816	80.18135215	60.16626484	21.76968682	17.67454219	97.95207717	19055
831	Jackson	5.090161358	55.06157208	82.45140662	27.4941199	66.33847479	49.09730879	38.08398171	93.76644762	32.96611662	86.8048895	87.07396979	98.41871349	19057
832	Jasper	95.07780652	47.70940281	52.08073563	50.01947866	62.31783975	33.24050284	54.94646249	56.7613713	12.32115795	37.59958343	72.38737206	21.91565713	19059
833	Jay	59.35459726	95.58077966	32.01051941	0.39279496	12.54183406	54.83365426	28.25538135	62.87600788	56.11389214	15.98696355	87.17706397	10.32709949	19061
834	Jefferson	63.5034216	19.03968789	91.9689422	25.50042637	92.55259947	94.10330189	69.07613036	51.72991735	1.345168789	93.15908311	89.98678378	71.66780316	19063
835	Jennings	67.00269851	82.66816535	89.40278899	65.40353005	62.90208149	77.42697307	56.38837757	76.18368464	4.950148572	97.65723462	95.9673277	83.15659001	19065
836	Johnson	99.33929153	92.70811252	12.28779838	15.01580141	40.55529968	38.42953679	19.76896511	37.15287258	1.876108967	61.01585994	27.14494727	46.18278513	19067
837	Knox	67.92091039	52.42060105	39.31477123	72.67218044	86.10441441	26.31905524	9.877080634	10.88572445	65.9672796	57.49869279	93.76817454	27.5655747	19069
838	Kosciusko	88.52929815	30.33633832	89.6570076	25.71536608	19.5975359	79.17625052	29.5651956	59.26684381	64.65245318	60.94385818	3.746168826	98.87423109	19071
839	La Porte	3.408751469	80.74374202	87.26546162	94.61599789	19.41448087	18.77492229	89.45309969	97.29430659	77.40437099	48.94143147	10.4799972	34.94430004	19073
840	Lagrange	73.09328742	61.39980438	42.28209453	34.31471043	11.66610815	31.83048837	90.30750627	97.94332717	39.21786042	74.10568269	32.71885272	26.7840963	19075
841	Lake	29.25370126	88.73588387	46.23038527	5.406159639	47.12125866	31.90258654	59.79465786	68.28703286	79.67697866	40.66008608	25.09495457	23.72138252	19077
842	Lawrence	42.4707238	28.8472555	5.172390466	28.78873127	8.007393193	78.19679925	41.81319372	41.60736889	24.14016502	86.56753322	37.94087597	8.972727215	19079
843	Madison	27.42816801	90.44220221	88.07030836	94.96315488	70.16054265	44.27401163	33.85598838	50.34902797	7.204113359	31.9978003	94.47549205	70.87913657	19081
844	Marion	7.954595034	32.13875239	91.86172056	61.89389922	17.38575312	21.2657208	6.974101716	56.99102844	76.63164885	20.57111087	31.23639952	12.43133309	19083
845	Marshall	26.65483219	15.81704905	78.47515299	52.05957866	8.918364354	93.68239305	74.70228392	64.89227209	62.6264775	84.33385667	85.21740816	22.45711984	19085
846	Martin	77.70592222	52.06303143	38.80002611	22.39839008	88.1092142	17.42380762	25.6385917	70.23863994	24.83454885	47.1234053	17.77651266	84.50903211	19087
847	Miami	10.11907271	33.49639184	74.78447393	73.74788682	45.33243471	0.690786212	87.33105997	73.00043073	78.64572849	24.9059059	10.09903343	68.62440024	19089
848	Monroe	96.00136992	79.41976472	88.93679816	92.17528082	20.47467141	33.81661388	82.70217733	50.38392454	59.19027761	14.46883054	33.3667488	5.136537547	19091
849	Montgomery	81.20321947	51.532877	10.87401039	88.88088718	67.21626138	81.37845417	21.67342104	36.51779024	53.9883855	11.48239053	93.736656	21.1962295	19093
850	Morgan	68.2497777	65.68841591	30.01118715	83.28373552	60.00328965	40.8868349	37.23067469	30.11548034	94.16116542	71.43859715	40.40246112	15.41462427	19095
851	Newton	14.70444498	31.26848839	81.08410897	30.31856368	13.23505402	7.249833412	41.6978679	17.28917502	31.42783517	45.04860884	53.97982914	40.14024391	19097
852	Noble	70.65446323	41.08589822	8.245109782	87.29843612	76.32887754	32.83214622	68.11528427	66.20318283	10.97505585	25.93038757	57.54905865	87.71406067	19099
853	Ohio	64.48819147	92.51907192	44.83484561	41.12918613	2.815920978	93.49974275	50.15357232	37.23984753	21.58508249	31.85817904	52.20625436	9.885971092	19101
854	Orange	59.92715635	25.57068791	69.0583295	20.30658196	72.7576151	3.358196824	39.32715915	18.88811316	93.75311122	65.97077165	50.27827595	71.49435226	19103
855	Owen	3.737620614	67.39529885	69.4166814	88.80871848	36.51395657	9.317486758	5.304416009	25.89150902	33.53213516	38.03924499	83.85584502	70.11212878	19105
856	Parke	49.97313526	72.58547037	22.93340173	87.21439439	99.22781514	72.56594779	66.84797492	19.00132697	51.90701103	88.80778678	78.15211407	54.46395885	19107
857	Perry	2.691565757	73.68918735	25.02307416	47.90383951	63.51481564	91.08906618	48.15719328	45.54408154	98.13084793	72.13568072	5.10245839	74.55112368	19109
858	Pike	65.68732636	76.26359687	69.80790017	20.83537252	82.51649083	20.62427251	65.32533977	19.54066412	45.48139766	78.01000076	64.87055289	73.91526127	19111
859	Porter	63.3284692	40.14673519	58.38301607	88.06700653	37.75819938	4.461611289	40.26709688	73.85038683	10.75156901	93.68337166	78.87799181	47.67866751	19113
860	Posey	94.95796666	57.32829159	49.5693127	60.79352197	95.28961689	61.71458334	12.81880475	88.83808799	58.37178099	11.43142017	90.97885578	73.65220638	19115
861	Pulaski	64.75719807	72.02725997	66.88399366	42.86047315	85.82953957	19.89401668	22.05521447	68.02410965	85.56260734	39.2611565	30.61644032	16.28897718	19117
862	Putnam	6.425889405	36.51914155	10.11414686	56.20625144	10.80432113	1.80715235	94.46672452	24.41636249	7.981903228	18.32873802	31.53901326	81.23462975	19119
863	Randolph	43.21801626	28.54184035	81.92217562	22.76160933	66.25499309	22.73706336	84.60425508	22.22506392	71.15329157	1.322571425	91.45301606	92.23056503	19121
864	Ripley	50.36099607	68.31426133	79.21280133	11.89404405	80.18816975	69.96784676	2.46021973	48.74923353	85.29911482	77.45441493	62.59551515	1.978909957	19123
865	Rush	77.85240267	44.69470326	30.15575957	89.27259315	46.4449704	47.73988894	42.79159489	37.61156161	48.86184948	81.87297378	90.46061122	32.82033196	19125
866	Scott	6.545805024	65.78414742	40.42084244	50.59264805	44.03491244	82.43849958	57.15698292	30.96610644	16.70690157	70.09965131	73.9300557	70.97599865	19127
867	Shelby	54.09247886	44.57028719	49.66902663	89.27015194	71.64296291	77.72458639	40.99520635	70.81628456	6.754974292	84.28247144	44.02151971	30.01092869	19129
868	Spencer	76.5118697	22.85497874	66.18002843	33.48066882	99.70857752	69.55487563	51.23121401	70.06691421	75.95787079	20.23657533	15.29184248	92.30891209	19131
869	St Joseph	51.84417834	33.92445655	2.708175611	13.52490236	7.915360622	59.5059039	35.01860471	96.28334037	0.043676257	91.72131789	77.87720287	28.2232243	19133
870	Starke	52.18841248	20.42921561	92.10792289	99.13051424	31.48460931	4.417393101	45.76966849	12.16309051	58.22611607	52.58850223	63.60365888	33.64470925	19135
871	Steuben	14.56707486	36.18724041	34.54854047	67.90133928	90.32998234	12.66868937	89.75948945	58.99821608	82.99320615	42.72705209	59.58024849	21.34104183	19137
872	Sullivan	15.26615474	4.51854089	52.25352261	56.34914365	55.52612785	3.017468533	80.25516197	41.70090369	6.026807725	86.63342031	12.27586294	50.3758572	19139
873	Switzerland	37.38369185	85.30757065	41.00419695	35.47575582	57.59729399	83.60677181	40.34314721	70.46847186	32.2765324	89.61727896	55.84285384	77.02882466	19141
874	Tippecanoe	38.18961232	37.82803319	81.71072874	55.30154936	72.40159617	29.37080089	62.47499872	28.63868677	91.76181401	18.81299571	96.60551632	30.45628666	19143
875	Tipton	1.690295836	10.90063181	32.04233656	52.11304488	12.62116935	44.74639445	72.1127092	87.26423181	64.34919916	55.42592898	1.700638943	92.14520229	19145
876	Union	14.76148708	39.79147593	64.39429259	70.90398112	84.83255107	97.14321795	50.15381943	97.29611047	71.42321336	90.7149428	15.74834803	42.85274228	19147
877	Vanderburgh	26.80481389	1.582103371	20.6245003	25.91396275	50.1494932	83.66215893	67.51350747	8.492040137	22.59424736	7.638717105	82.45570391	12.32964174	19149
878	Vermillion	6.742790219	66.50791226	55.56281944	15.55746614	39.10291081	96.15025531	11.11066426	62.303084	58.42017092	79.39688809	66.13664051	64.82493025	19151
879	Vigo	96.59964639	49.59608743	96.6458978	8.897476903	53.81338154	66.811059	40.87288924	70.16119106	46.59965407	22.66391575	93.40542468	6.82390086	19153
880	Wabash	48.65259358	27.54631657	74.58845512	63.98545291	23.47014883	41.35081266	92.3705362	22.48834389	41.08549901	28.03470781	24.93861957	12.54424786	19155
881	Warren	55.05666573	50.64681355	75.13182418	23.13901438	35.00627119	88.59953207	1.212310069	85.43980583	5.210092316	80.56575269	83.39167345	81.3394814	19157
882	Warrick	20.52281924	31.731565	76.25182774	37.09610597	92.1624414	40.0546836	23.82684086	63.18080272	26.2682875	40.16632113	44.0619443	88.68835427	19159
883	Washington	27.50714453	12.78114911	94.47824938	19.99893256	77.97530849	80.89448832	11.20868835	85.85999413	54.66483682	36.89955827	28.69037802	22.92978991	19161
884	Wayne	37.84952517	94.61215731	67.5317857	69.82395301	46.04357358	71.57649422	53.59388979	25.65726975	81.16278475	47.12885935	55.33667363	56.09719539	19163
885	Wells	14.6880041	67.78176158	92.31926684	29.11429976	12.17278712	11.72739689	40.52161539	70.18518958	31.59754978	0.284895847	18.81866865	90.68477268	19165
886	White	51.83946969	62.52238708	71.53991934	3.55587298	55.52639186	1.022597133	60.40248481	11.43005871	81.89107501	11.7161306	87.30171005	60.0880867	19167
887	Whitley	81.32606106	38.44992936	23.77909862	69.13822648	58.94533241	15.19440488	25.50615216	57.97461505	95.55816127	86.11690504	7.685732798	20.42705005	19169
888	Allen	92.04778853	1.253214932	29.90323428	68.52883968	11.09469156	60.89872792	48.8476987	51.17095894	6.647827018	88.6481909	73.20980997	86.21460689	19171
889	Anderson	68.3880282	77.32869445	0.249037176	43.95872927	75.92972188	10.19559652	87.88821907	38.06167696	81.10373029	13.60137915	85.4609056	41.67280933	19173
890	Atchison	8.945769199	69.51973681	31.87280629	6.336832087	80.34972696	30.22629828	31.83159601	86.69888703	29.4310348	76.86234682	46.93805966	31.84837275	19175
891	Barber	50.69881188	39.11160463	78.31200565	37.80112212	7.626924852	39.52120236	10.99826609	50.06853592	54.78138041	14.70137136	35.59142753	37.40995084	19177
892	Barton	17.80597227	92.50282642	94.56611407	52.58613676	87.47082309	70.59509293	23.95609918	34.08195243	69.4008718	40.56068164	24.04132189	22.22650146	19179
